Indikator,Ausprägung,Jahr,Räumliche Gliederung,Indikatorwert,Basiswert 1,Basiswert 2,Name Basiswert 1,Name Basiswert 2
Baugenehmigungen,Wohnfläche,2014,24 Feldmoching - Hasenbergl,94.5,31191,330,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2014,25 Laim,81.8,18325,224,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,Stadt München,81.9,499822,6100,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,01 Altstadt - Lehel,106.9,1496,14,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,02 Ludwigsvorstadt - Isarvorstadt,83.6,5939,71,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,03 Maxvorstadt,54,1673,31,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,04 Schwabing - West,77.3,36640,474,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,05 Au - Haidhausen,102.2,5313,52,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,06 Sendling,49,8228,168,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,07 Sendling - Westpark,69.9,37959,543,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
Baugenehmigungen,Wohnfläche,2013,08 Schwanthalerhöhe,92.5,185,2,Summe Wohnflächen von allen genehmigten Wohnungen,Alle genehmigten Neubauwohnungen in Wohngebäuden (ohne Maßnahmen an bestehenden Gebäuden)
